Honda ST 1100,195 000  ₽,"Красное Село, пр-т Ленина",https://www.avito.ru/sankt-peterburg_krasnoye_selo/mototsikly_i_mototehnika/honda_st_1100_1896228344
Kawasaki zx9r,250 000  ₽,"Ладожская, 2,4	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/kawasaki_zx9r_1774730710
636 Kawasaki zx6r 2004 год,200 000  ₽,"Беговая, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/636_kawasaki_zx6r_2004_god_1861920446
Honda GL1800 Goldwing МКПП 2019,1 930 000  ₽,"Улица Дыбенко, 100	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_gl1800_goldwing_mkpp_2019_1884555801
Кроссовый мотоцикл Ирбис 300 кубов,71 111  ₽,"Проспект Славы, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/krossovyy_mototsikl_irbis_300_kubov_1915859297
Мотоцикл Honda CRF450RX,728 000  ₽,Улица Дыбенко,https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_honda_crf450rx_1884006565
Triumph Speed Triple 1050,470 000  ₽,"Приморская, 1	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/triumph_speed_triple_1050_1610288275
Мотоцикл Yamaha YBR 125 Год выпуска 2011,114 000  ₽,"Проспект Большевиков, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_yamaha_ybr_125_god_vypuska_2011_1839926880
Suzuki gsxr1100,178 000  ₽,"Красное Село, пр-т Ленина",https://www.avito.ru/sankt-peterburg_krasnoye_selo/mototsikly_i_mototehnika/suzuki_gsxr1100_1896184841
"Yamaha YBR 125, 2010 г.в",119 000  ₽,"Проспект Большевиков, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_ybr_125_2010_g.v_1839272093
Yamaha xv 400virago,135 000  ₽,"Купчино, 1,1	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_xv_400virago_1898515453
"Yamaha Drag Star 400, 1996",190 000  ₽,"Красное Село, пр-т Ленина, 102к1",https://www.avito.ru/sankt-peterburg_krasnoye_selo/mototsikly_i_mototehnika/yamaha_drag_star_400_1996_1076763774
Honda shadow slasher 400,195 000  ₽,"Пролетарская, 2,4	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_shadow_slasher_400_1774208789
Мотоцикл Harley-davidson vrscdx night ROD,950 000  ₽,"Проспект Ветеранов, 1,3	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_harley-davidson_vrscdx_night_rod_1909707773
Yamaha FZ1,260 000  ₽,"Проспект Просвещения, 1,9	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/yamaha_fz1_1840115012
Мотоцикл ямаха Дедскии на бензине,20 000  ₽,Колпино,https://www.avito.ru/sankt-peterburg_kolpino/mototsikly_i_mototehnika/mototsikl_yamaha_dedskii_na_benzine_1804545142
Kawasaki Ninja 650,320 000  ₽,"Беговая, 100	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/kawasaki_ninja_650_1908935734
Yamaha XJ900,190 000  ₽,"Красное Село, пр-т Ленина",https://www.avito.ru/sankt-peterburg_krasnoye_selo/mototsikly_i_mototehnika/yamaha_xj900_1896760137
Продам мотоцикл Yamaha fz6 n,250 000  ₽,"Московская, 1,5	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/prodam_mototsikl_yamaha_fz6_n_1777553078
Продам Ямаху вирага 1100 1994г.в в идеальном состо,250 000  ₽,"Площадь Мужества, 1,7	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/prodam_yamahu_viraga_1100_1994g.v_v_idealnom_sosto_1352067147
Honda VFR 800 2003,200 000  ₽,"Парк Победы, 800	 м",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/honda_vfr_800_2003_1777600983
Suzuki desperado vz400 1996,130 000  ₽,"Красное Село, ул. Спирина, 14к4",https://www.avito.ru/sankt-peterburg_krasnoye_selo/mototsikly_i_mototehnika/suzuki_desperado_vz400_1996_1799789682
К-750,90 000  ₽,"Проспект Ветеранов, 5,9	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/k-750_1842041544
Мотоцикл Avantis FX 250 21/18 (169 Fmm),114 990  ₽,"Московская, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_avantis_fx_250_2118_169_fmm_1221973874
Питбайк Avantis Classic 150сс. Модель 2020,72 990  ₽,"Московская, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_avantis_classic_150ss._model_2020_1836749565
Питбайк Avantis Classic 190сс 2020,89 990  ₽,"Московская, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/pitbayk_avantis_classic_190ss_2020_1172803238
Мотоцикл Avantis Enduro 300 Pro/Efi с птс,289 990  ₽,"Московская, 1,6	 км",https://www.avito.ru/sankt-peterburg/mototsikly_i_mototehnika/mototsikl_avantis_enduro_300_proefi_s_pts_1694731989
